x	y
1200	0.023
698.106	0.023
695.226	0.023
692.370	0.023
689.537	-0.002
686.727	-0.026
683.940	-0.002
681.176	0.013
678.434	0.013
675.714	0.013
673.015	0.013
670.338	0.013
667.682	0.013
665.048	0.013
662.434	0.018
659.840	0.023
657.267	0.013
654.713	0.018
652.180	0.023
649.666	0.023
647.171	0.028
644.695	0.023
642.238	0.033
639.800	0.033
637.380	0.042
634.979	0.052
632.595	0.062
630.230	0.071
627.882	0.081
625.551	0.096
623.238	0.115
620.941	0.130
618.662	0.154
616.399	0.183
614.153	0.222
611.923	0.276
609.709	0.349
607.511	0.466
605.329	0.656
603.163	1.006
601.012	1.678
598.876	2.754
596.755	3.854
594.650	3.333
698.106	0.023
695.226	0.023
692.370	0.023
689.537	-0.002
686.727	-0.026
683.940	-0.002
681.176	0.013
678.434	0.013
675.714	0.013
673.015	0.013
670.338	0.013
667.682	0.013
665.048	0.013
662.434	0.013
659.840	0.023
657.267	0.013
654.713	0.023
652.180	0.023
649.666	0.023
647.171	0.033
644.695	0.023
642.238	0.033
639.800	0.033
637.380	0.042
634.979	0.052
632.595	0.062
630.230	0.071
627.882	0.081
625.551	0.091
623.238	0.115
620.941	0.130
618.662	0.149
616.399	0.183
614.153	0.222
611.923	0.276
609.709	0.344
607.511	0.461
605.329	0.661
603.163	0.996
601.012	1.663
598.876	2.754
596.755	3.913
594.650	4.458
592.559	4.395
590.483	4.103
588.421	3.772
586.374	3.465
584.341	3.178
582.322	2.924
580.317	2.696
578.325	2.491
576.347	2.311
574.383	2.136
572.432	1.975
570.494	1.834
568.570	1.717
566.658	1.605
564.759	1.488
562.873	1.381
560.999	1.289
559.138	1.196
557.289	1.118
555.452	1.050
553.627	0.987
551.815	0.938
550.014	0.889
548.225	0.850
546.447	0.816
544.681	0.777
542.926	0.753
541.183	0.734
539.451	0.704
537.729	0.680
536.019	0.665
534.320	0.636
532.631	0.617
530.953	0.592
529.285	0.583
527.628	0.568
525.982	0.549
524.345	0.529
522.719	0.510
521.102	0.490
519.496	0.480
517.900	0.461
516.313	0.441
514.736	0.422
513.169	0.412
511.611	0.388
510.062	0.373
508.523	0.364
506.994	0.344
505.473	0.339
503.961	0.325
502.459	0.320
500.965	0.310
499.481	0.305
498.005	0.291
496.537	0.286
495.079	0.281
493.629	0.281
492.187	0.276
490.754	0.266
489.329	0.261
487.912	0.256
486.504	0.252
485.103	0.252
483.711	0.252
482.327	0.237
480.950	0.237
479.581	0.242
478.221	0.232
476.867	0.232
475.522	0.227
474.184	0.227
472.854	0.222
471.531	0.222
470.215	0.218
468.907	0.213
467.606	0.213
466.312	0.208
465.025	0.203
463.745	0.203
462.473	0.208
461.207	0.198
459.948	0.198
458.697	0.203
457.452	0.193
456.213	0.188
454.982	0.188
453.757	0.193
452.538	0.183
451.326	0.179
450.121	0.179
448.922	0.179
447.729	0.179
446.543	0.179
445.363	0.179
444.189	0.179
443.021	0.174
441.860	0.174
440.704	0.174
439.555	0.164
438.411	0.169
437.274	0.174
436.142	0.174
435.016	0.169
433.896	0.169
432.782	0.174
431.674	0.174
430.571	0.174
429.474	0.174
100	0.174
