x	y
1200	2.141
686.908	2.141
682.908	2.163
666.782	2.223
660.274	2.245
645.248	2.349
625.716	2.624
614.867	2.944
609.219	3.237
605.108	3.598
602.267	3.871
600.371	4.171
597.755	4.235
597.522	3.938
596.326	3.668
595.627	3.383
595.137	3.023
593.976	2.736
592.132	2.427
591.213	2.105
589.564	1.804
585.289	1.473
578.236	1.155
564.560	1.031
550.322	1.152
534.381	1.253
521.310	1.318
507.808	1.361
495.631	1.425
485.241	1.460
473.505	1.494
462.060	1.515
452.866	1.540
442.642	1.550
433.541	1.574
100	1.574
